Team_1,Team_1_number,Team_2,Team_2_number,Winner_team,Winner_team_number,Margin,Ground,Ground_number,Match Date,Scorecard,Match_number,Match_Type
Kings,953835,Gladiators,953845,Kings,953835,1 run,Karachi,58956,"Mar 10, 2019",T20,1168848,PSL
Qalandars,953847,Sultans,1117814,Sultans,1117814,7 wickets,Karachi,58956,"Mar 11, 2019",T20,1168849,PSL
Kings,953835,Zalmi,953833,Zalmi,953833,61 runs,Karachi,58956,"Mar 11, 2019",T20,1168846,PSL
Zalmi,953833,Gladiators,953845,Gladiators,953845,10 runs,Karachi,58956,"Mar 13, 2019",T20,1168851,PSL
United,953843,Kings,953835,United,953843,4 wickets,Karachi,58956,"Mar 14, 2019",T20,1168850,PSL
United,953843,Zalmi,953833,Zalmi,953833,48 runs,Karachi,58956,"Mar 15, 2019",T20,1168852,PSL
Gladiators,953845,Zalmi,953833,Gladiators,953845,8 wickets,Karachi,58956,"Mar 17, 2019",T20,1168853,PSL
United,953843,Gladiators,953845,Gladiators,953845,3 wickets,Karachi,58956,"Feb 20, 2020",T20,1211642,PSL
Kings,953835,Zalmi,953833,Kings,953835,10 runs,Karachi,58956,"Feb 21, 2020",T20,1211643,PSL
Qalandars,953847,Sultans,1117814,Sultans,1117814,5 wickets,Lahore,58967,"Feb 21, 2020",T20,1211644,PSL
Zalmi,953833,Gladiators,953845,Zalmi,953833,6 wickets,Karachi,58956,"Feb 22, 2020",T20,1211645,PSL
United,953843,Sultans,1117814,United,953843,8 wickets,Lahore,58967,"Feb 22, 2020",T20,1211646,PSL
Kings,953835,Gladiators,953845,Gladiators,953845,5 wickets,Karachi,58956,"Feb 23, 2020",T20,1211647,PSL
Qalandars,953847,United,953843,United,953843,1 wicket,Lahore,58967,"Feb 23, 2020",T20,1211648,PSL
Sultans,1117814,Zalmi,953833,Sultans,1117814,6 wickets,Multan,58986,"Feb 26, 2020",T20,1211649,PSL
United,953843,Gladiators,953845,Gladiators,953845,5 wickets,Rawalpindi,59006,"Feb 27, 2020",T20,1211650,PSL
Sultans,1117814,Kings,953835,Sultans,1117814,52 runs,Multan,58986,"Feb 28, 2020",T20,1211651,PSL
Qalandars,953847,Zalmi,953833,Zalmi,953833,16 runs,Rawalpindi,59006,"Feb 28, 2020",T20,1211652,PSL
Sultans,1117814,Gladiators,953845,Sultans,1117814,30 runs,Multan,58986,"Feb 29, 2020",T20,1211653,PSL
United,953843,Zalmi,953833,abandoned,,,Rawalpindi,59006,"Feb 29, 2020",T20,1211654,PSL
United,953843,Kings,953835,Kings,953835,5 wickets,Rawalpindi,59006,"Mar 1, 2020",T20,1211655,PSL
Kings,953835,Zalmi,953833,Kings,953835,6 wickets,Rawalpindi,59006,"Mar 2, 2020",T20,1211656,PSL
Qalandars,953847,Gladiators,953845,Qalandars,953847,37 runs,Lahore,58967,"Mar 3, 2020",T20,1211657,PSL
Qalandars,953847,United,953843,United,953843,71 runs,Lahore,58967,"Mar 4, 2020",T20,1211658,PSL
Zalmi,953833,Gladiators,953845,Zalmi,953833,30 runs,Rawalpindi,59006,"Mar 5, 2020",T20,1211659,PSL
Kings,953835,Sultans,1117814,no result,,,Lahore,58967,"Mar 6, 2020",T20,1211660,PSL
United,953843,Zalmi,953833,Zalmi,953833,7 runs,Rawalpindi,59006,"Mar 7, 2020",T20,1211661,PSL
Qalandars,953847,Gladiators,953845,Qalandars,953847,8 wickets,Lahore,58967,"Mar 7, 2020",T20,1211662,PSL
United,953843,Sultans,1117814,Sultans,1117814,9 wickets,Rawalpindi,59006,"Mar 8, 2020",T20,1211663,PSL
Qalandars,953847,Kings,953835,Qalandars,953847,8 wickets,Lahore,58967,"Mar 8, 2020",T20,1211664,PSL
Qalandars,953847,Zalmi,953833,Qalandars,953847,5 wickets,Lahore,58967,"Mar 10, 2020",T20,1211665,PSL
Sultans,1117814,Gladiators,953845,abandoned,,,Lahore,58967,"Mar 11, 2020",T20,1211666,PSL
Kings,953835,Qalandars,953847,Kings,953835,10 wickets,Karachi,58956,"Mar 12, 2020",T20,1211667,PSL
Sultans,1117814,Zalmi,953833,Sultans,1117814,3 runs,Karachi,58956,"Mar 13, 2020",T20,1211668,PSL
Kings,953835,United,953843,Kings,953835,4 wickets,Karachi,58956,"Mar 14, 2020",T20,1211669,PSL
Qalandars,953847,Sultans,1117814,Qalandars,953847,9 wickets,Lahore,58967,"Mar 15, 2020",T20,1211670,PSL
Kings,953835,Gladiators,953845,Gladiators,953845,5 wickets,Karachi,58956,"Mar 15, 2020",T20,1211671,PSL
South Africa,3,Sri Lanka,8,South Africa,3,282 runs,Cape Town,59068,"Jan 2-5, 2017",Test # 2244,936149,TEST_MATCH
Australia,2,Pakistan,7,Australia,2,220 runs,Sydney,56544,"Jan 3-7, 2017",Test # 2245,1000885,TEST_MATCH
New Zealand,5,Bangladesh,25,New Zealand,5,7 wickets,Wellington,58895,"Jan 12-16, 2017",Test # 2246,1019985,TEST_MATCH
South Africa,3,Sri Lanka,8,South Africa,3,inns & 118 runs,Johannesburg,59120,"Jan 12-14, 2017",Test # 2247,936151,TEST_MATCH
New Zealand,5,Bangladesh,25,New Zealand,5,9 wickets,Christchurch,58810,"Jan 20-23, 2017",Test # 2248,1019987,TEST_MATCH
India,6,Bangladesh,25,India,6,208 runs,Hyderabad (Deccan),58142,"Feb 9-13, 2017",Test # 2249,1041761,TEST_MATCH
India,6,Australia,2,Australia,2,333 runs,Pune,545380,"Feb 23-25, 2017",Test # 2250,1062573,TEST_MATCH
India,6,Australia,2,India,6,75 runs,Bengaluru,57897,"Mar 4-7, 2017",Test # 2251,1062574,TEST_MATCH
Sri Lanka,8,Bangladesh,25,Sri Lanka,8,259 runs,Galle,59325,"Mar 7-11, 2017",Test # 2252,1083444,TEST_MATCH
New Zealand,5,South Africa,3,drawn,,,Dunedin,58827,"Mar 8-12, 2017",Test # 2253,1020041,TEST_MATCH
Sri Lanka,8,Bangladesh,25,Bangladesh,25,4 wickets,Colombo (PSS),59303,"Mar 15-19, 2017",Test # 2254,1083445,TEST_MATCH
New Zealand,5,South Africa,3,South Africa,3,8 wickets,Wellington,58895,"Mar 16-18, 2017",Test # 2255,1020043,TEST_MATCH
India,6,Australia,2,drawn,,,Ranchi,485865,"Mar 16-20, 2017",Test # 2256,1062575,TEST_MATCH
New Zealand,5,South Africa,3,drawn,,,Hamilton,58831,"Mar 25-29, 2017",Test # 2257,1020045,TEST_MATCH
India,6,Australia,2,India,6,8 wickets,Dharamsala,58056,"Mar 25-28, 2017",Test # 2258,1062576,TEST_MATCH
West Indies,4,Pakistan,7,Pakistan,7,7 wickets,Kingston,59458,"Apr 21-25, 2017",Test # 2259,1077953,TEST_MATCH
West Indies,4,Pakistan,7,West Indies,4,106 runs,Bridgetown,59429,"Apr 30-May 4, 2017",Test # 2260,1077954,TEST_MATCH
West Indies,4,Pakistan,7,Pakistan,7,101 runs,Roseau,59480,"May 10-14, 2017",Test # 2261,1077955,TEST_MATCH
England,1,South Africa,3,England,1,211 runs,Lord's,57129,"Jul 6-9, 2017",Test # 2262,1031437,TEST_MATCH
Sri Lanka,8,Zimbabwe,9,Sri Lanka,8,4 wickets,Colombo (RPS),59306,"Jul 14-18, 2017",Test # 2263,1104483,TEST_MATCH
England,1,South Africa,3,South Africa,3,340 runs,Nottingham,57219,"Jul 14-17, 2017",Test # 2264,1031439,TEST_MATCH
Sri Lanka,8,India,6,India,6,304 runs,Galle,59325,"Jul 26-29, 2017",Test # 2265,1109602,TEST_MATCH
England,1,South Africa,3,England,1,239 runs,The Oval,57127,"Jul 27-31, 2017",Test # 2266,1031441,TEST_MATCH
Sri Lanka,8,India,6,India,6,inns & 53 runs,Colombo (SSC),59308,"Aug 3-6, 2017",Test # 2267,1109603,TEST_MATCH
England,1,South Africa,3,England,1,177 runs,Manchester,57160,"Aug 4-7, 2017",Test # 2268,1031443,TEST_MATCH
Sri Lanka,8,India,6,India,6,inns & 171 runs,Pallekele,434211,"Aug 12-14, 2017",Test # 2269,1109604,TEST_MATCH
England,1,West Indies,4,England,1,inns & 209 runs,Birmingham,56788,"Aug 17-19, 2017",Test # 2270,1031659,TEST_MATCH
England,1,West Indies,4,West Indies,4,5 wickets,Leeds,57092,"Aug 25-29, 2017",Test # 2271,1031661,TEST_MATCH
Bangladesh,25,Australia,2,Bangladesh,25,20 runs,Dhaka,236761,"Aug 27-30, 2017",Test # 2272,1104284,TEST_MATCH
Bangladesh,25,Australia,2,Australia,2,7 wickets,Chattogram,56658,"Sep 4-7, 2017",Test # 2273,1104285,TEST_MATCH
England,1,West Indies,4,England,1,9 wickets,Lord's,57129,"Sep 7-9, 2017",Test # 2274,1031663,TEST_MATCH
Pakistan,7,Sri Lanka,8,Sri Lanka,8,21 runs,Abu Dhabi,59396,"Sep 28-Oct 2, 2017",Test # 2275,1120284,TEST_MATCH
South Africa,3,Bangladesh,25,South Africa,3,333 runs,Potchefstroom,59172,"Sep 28-Oct 2, 2017",Test # 2276,1075502,TEST_MATCH
South Africa,3,Bangladesh,25,South Africa,3,inns & 254 runs,Bloemfontein,59042,"Oct 6-8, 2017",Test # 2277,1075503,TEST_MATCH
Pakistan,7,Sri Lanka,8,Sri Lanka,8,68 runs,Dubai (DSC),392627,"Oct 6-10, 2017",Test # 2278,1120285,TEST_MATCH
Zimbabwe,9,West Indies,4,West Indies,4,117 runs,Bulawayo,59537,"Oct 21-24, 2017",Test # 2279,1122886,TEST_MATCH
Zimbabwe,9,West Indies,4,drawn,,,Bulawayo,59537,"Oct 29-Nov 2, 2017",Test # 2280,1122887,TEST_MATCH
India,6,Sri Lanka,8,drawn,,,Kolkata,57980,"Nov 16-20, 2017",Test # 2281,1122723,TEST_MATCH
Australia,2,England,1,Australia,2,10 wickets,Brisbane,56336,"Nov 23-27, 2017",Test # 2282,1072305,TEST_MATCH
India,6,Sri Lanka,8,India,6,inns & 239 runs,Nagpur,375326,"Nov 24-27, 2017",Test # 2283,1122724,TEST_MATCH
New Zealand,5,West Indies,4,New Zealand,5,inns & 67 runs,Wellington,58895,"Dec 1-4, 2017",Test # 2284,1115793,TEST_MATCH
Australia,2,England,1,Australia,2,120 runs,Adelaide,56293,"Dec 2-6, 2017",Test # 2285,1072306,TEST_MATCH
India,6,Sri Lanka,8,drawn,,,Delhi,58040,"Dec 2-6, 2017",Test # 2286,1122725,TEST_MATCH
New Zealand,5,West Indies,4,New Zealand,5,240 runs,Hamilton,58831,"Dec 9-12, 2017",Test # 2287,1115794,TEST_MATCH
Australia,2,England,1,Australia,2,inns & 41 runs,Perth,56490,"Dec 14-18, 2017",Test # 2288,1072307,TEST_MATCH
Australia,2,England,1,drawn,,,Melbourne,56441,"Dec 26-30, 2017",Test # 2289,1072308,TEST_MATCH
South Africa,3,Zimbabwe,9,South Africa,3,inns & 120 runs,Port Elizabeth,59159,"Dec 26-27, 2017",Test # 2290,1122310,TEST_MATCH
Australia,2,England,1,Australia,2,inns & 123 runs,Sydney,56544,"Jan 4-8, 2018",Test # 2291,1072309,TEST_MATCH
South Africa,3,India,6,South Africa,3,72 runs,Cape Town,59068,"Jan 5-8, 2018",Test # 2292,1122276,TEST_MATCH
South Africa,3,India,6,South Africa,3,135 runs,Centurion,59079,"Jan 13-17, 2018",Test # 2293,1122277,TEST_MATCH
South Africa,3,India,6,India,6,63 runs,Johannesburg,59120,"Jan 24-27, 2018",Test # 2294,1122278,TEST_MATCH
Bangladesh,25,Sri Lanka,8,drawn,,,Chattogram,56658,"Jan 31-Feb 4, 2018",Test # 2295,1130744,TEST_MATCH
Bangladesh,25,Sri Lanka,8,Sri Lanka,8,215 runs,Dhaka,236761,"Feb 8-10, 2018",Test # 2296,1130745,TEST_MATCH
South Africa,3,Australia,2,Australia,2,118 runs,Durban,59089,"Mar 1-5, 2018",Test # 2297,1075982,TEST_MATCH
South Africa,3,Australia,2,South Africa,3,6 wickets,Port Elizabeth,59159,"Mar 9-12, 2018",Test # 2298,1075983,TEST_MATCH
New Zealand,5,England,1,New Zealand,5,inns & 49 runs,Auckland,58792,"Mar 22-26, 2018",Test # 2299,1115780,TEST_MATCH
South Africa,3,Australia,2,South Africa,3,322 runs,Cape Town,59068,"Mar 22-25, 2018",Test # 2300,1075984,TEST_MATCH
New Zealand,5,England,1,drawn,,,Christchurch,58810,"Mar 30-Apr 3, 2018",Test # 2301,1115781,TEST_MATCH
South Africa,3,Australia,2,South Africa,3,492 runs,Johannesburg,59120,"Mar 30-Apr 3, 2018",Test # 2302,1075985,TEST_MATCH
Ireland,29,Pakistan,7,Pakistan,7,5 wickets,Dublin (Malahide),58607,"May 11-15, 2018",Test # 2303,1127284,TEST_MATCH
England,1,Pakistan,7,Pakistan,7,9 wickets,Lord's,57129,"May 24-27, 2018",Test # 2304,1119535,TEST_MATCH
England,1,Pakistan,7,England,1,inns & 55 runs,Leeds,57092,"Jun 1-3, 2018",Test # 2305,1119536,TEST_MATCH
West Indies,4,Sri Lanka,8,West Indies,4,226 runs,Port of Spain,59475,"Jun 6-10, 2018",Test # 2306,1135149,TEST_MATCH
India,6,Afghanistan,40,India,6,inns & 262 runs,Bengaluru,57897,"Jun 14-15, 2018",Test # 2307,1133983,TEST_MATCH
West Indies,4,Sri Lanka,8,drawn,,,Gros Islet,59518,"Jun 14-18, 2018",Test # 2308,1135150,TEST_MATCH
West Indies,4,Sri Lanka,8,Sri Lanka,8,4 wickets,Bridgetown,59429,"Jun 23-26, 2018",Test # 2309,1135151,TEST_MATCH
West Indies,4,Bangladesh,25,West Indies,4,inns & 219 runs,North Sound,208543,"Jul 4-6, 2018",Test # 2310,1146717,TEST_MATCH
Sri Lanka,8,South Africa,3,Sri Lanka,8,278 runs,Galle,59325,"Jul 12-14, 2018",Test # 2311,1142581,TEST_MATCH
West Indies,4,Bangladesh,25,West Indies,4,166 runs,Kingston,59458,"Jul 12-14, 2018",Test # 2312,1146718,TEST_MATCH
Sri Lanka,8,South Africa,3,Sri Lanka,8,199 runs,Colombo (SSC),59308,"Jul 20-23, 2018",Test # 2313,1142582,TEST_MATCH
England,1,India,6,England,1,31 runs,Birmingham,56788,"Aug 1-4, 2018",Test # 2314,1119549,TEST_MATCH
England,1,India,6,England,1,inns & 159 runs,Lord's,57129,"Aug 9-12, 2018",Test # 2315,1119550,TEST_MATCH
England,1,India,6,India,6,203 runs,Nottingham,57219,"Aug 18-22, 2018",Test # 2316,1119551,TEST_MATCH
England,1,India,6,England,1,60 runs,Southampton,57312,"Aug 30-Sep 2, 2018",Test # 2317,1119552,TEST_MATCH
England,1,India,6,England,1,118 runs,The Oval,57127,"Sep 7-11, 2018",Test # 2318,1119553,TEST_MATCH
India,6,West Indies,4,India,6,inns & 272 runs,Rajkot,377285,"Oct 4-6, 2018",Test # 2319,1157752,TEST_MATCH
Australia,2,Pakistan,7,drawn,,,Dubai (DSC),392627,"Oct 7-11, 2018",Test # 2320,1157370,TEST_MATCH
India,6,West Indies,4,India,6,10 wickets,Hyderabad (Deccan),58142,"Oct 12-14, 2018",Test # 2321,1157753,TEST_MATCH
Australia,2,Pakistan,7,Pakistan,7,373 runs,Abu Dhabi,59396,"Oct 16-19, 2018",Test # 2322,1157371,TEST_MATCH
Bangladesh,25,Zimbabwe,9,Zimbabwe,9,151 runs,Sylhet,56689,"Nov 3-6, 2018",Test # 2323,1153639,TEST_MATCH
Sri Lanka,8,England,1,England,1,211 runs,Galle,59325,"Nov 6-9, 2018",Test # 2324,1140385,TEST_MATCH
Bangladesh,25,Zimbabwe,9,Bangladesh,25,218 runs,Dhaka,236761,"Nov 11-15, 2018",Test # 2325,1153640,TEST_MATCH
Sri Lanka,8,England,1,England,1,57 runs,Pallekele,434211,"Nov 14-18, 2018",Test # 2326,1140386,TEST_MATCH
New Zealand,5,Pakistan,7,New Zealand,5,4 runs,Abu Dhabi,59396,"Nov 16-19, 2018",Test # 2327,1157381,TEST_MATCH
Bangladesh,25,West Indies,4,Bangladesh,25,64 runs,Chattogram,56658,"Nov 22-24, 2018",Test # 2328,1153311,TEST_MATCH
Sri Lanka,8,England,1,England,1,42 runs,Colombo (SSC),59308,"Nov 23-26, 2018",Test # 2329,1140387,TEST_MATCH
New Zealand,5,Pakistan,7,Pakistan,7,inns & 16 runs,Dubai (DSC),392627,"Nov 24-27, 2018",Test # 2330,1157382,TEST_MATCH
Bangladesh,25,West Indies,4,Bangladesh,25,inns & 184 runs,Dhaka,236761,"Nov 30-Dec 2, 2018",Test # 2331,1153312,TEST_MATCH
New Zealand,5,Pakistan,7,New Zealand,5,123 runs,Abu Dhabi,59396,"Dec 3-7, 2018",Test # 2332,1157383,TEST_MATCH
Australia,2,India,6,India,6,31 runs,Adelaide,56293,"Dec 6-10, 2018",Test # 2333,1144993,TEST_MATCH
Australia,2,India,6,Australia,2,146 runs,Perth,1126475,"Dec 14-18, 2018",Test # 2334,1144994,TEST_MATCH
New Zealand,5,Sri Lanka,8,drawn,,,Wellington,58895,"Dec 15-19, 2018",Test # 2335,1153838,TEST_MATCH
New Zealand,5,Sri Lanka,8,New Zealand,5,423 runs,Christchurch,58810,"Dec 26-30, 2018",Test # 2336,1153839,TEST_MATCH
Australia,2,India,6,India,6,137 runs,Melbourne,56441,"Dec 26-30, 2018",Test # 2337,1144995,TEST_MATCH
South Africa,3,Pakistan,7,South Africa,3,6 wickets,Centurion,59079,"Dec 26-28, 2018",Test # 2338,1144153,TEST_MATCH
Australia,2,India,6,drawn,,,Sydney,56544,"Jan 3-7, 2019",Test # 2339,1144996,TEST_MATCH
South Africa,3,Pakistan,7,South Africa,3,9 wickets,Cape Town,59068,"Jan 3-6, 2019",Test # 2340,1144154,TEST_MATCH
South Africa,3,Pakistan,7,South Africa,3,107 runs,Johannesburg,59120,"Jan 11-14, 2019",Test # 2341,1144155,TEST_MATCH
West Indies,4,England,1,West Indies,4,381 runs,Bridgetown,59429,"Jan 23-26, 2019",Test # 2342,1158062,TEST_MATCH
Australia,2,Sri Lanka,8,Australia,2,inns & 40 runs,Brisbane,56336,"Jan 24-26, 2019",Test # 2343,1145000,TEST_MATCH
West Indies,4,England,1,West Indies,4,10 wickets,North Sound,208543,"Jan 31-Feb 2, 2019",Test # 2344,1158063,TEST_MATCH
Australia,2,Sri Lanka,8,Australia,2,366 runs,Canberra,56370,"Feb 1-4, 2019",Test # 2345,1145001,TEST_MATCH
West Indies,4,England,1,England,1,232 runs,Gros Islet,59518,"Feb 9-12, 2019",Test # 2346,1158064,TEST_MATCH
South Africa,3,Sri Lanka,8,Sri Lanka,8,1 wicket,Durban,59089,"Feb 13-16, 2019",Test # 2347,1144164,TEST_MATCH
South Africa,3,Sri Lanka,8,Sri Lanka,8,8 wickets,Port Elizabeth,59159,"Feb 21-23, 2019",Test # 2348,1144165,TEST_MATCH
New Zealand,5,Bangladesh,25,New Zealand,5,inns & 52 runs,Hamilton,58831,"Feb 28-Mar 3, 2019",Test # 2349,1153847,TEST_MATCH
New Zealand,5,Bangladesh,25,New Zealand,5,inns & 12 runs,Wellington,58895,"Mar 8-12, 2019",Test # 2350,1153848,TEST_MATCH
Afghanistan,40,Ireland,29,Afghanistan,40,7 wickets,Dehradun,1145946,"Mar 15-18, 2019",Test # 2351,1168120,TEST_MATCH
England,1,Ireland,29,England,1,143 runs,Lord's,57129,"Jul 24-26, 2019",Test # 2352,1152839,TEST_MATCH
England,1,Australia,2,Australia,2,251 runs,Birmingham,56788,"Aug 1-5, 2019",Test # 2353,1152846,TEST_MATCH
Sri Lanka,8,New Zealand,5,Sri Lanka,8,6 wickets,Galle,59325,"Aug 14-18, 2019",Test # 2354,1192873,TEST_MATCH
England,1,Australia,2,drawn,,,Lord's,57129,"Aug 14-18, 2019",Test # 2355,1152847,TEST_MATCH
Sri Lanka,8,New Zealand,5,New Zealand,5,inns & 65 runs,Colombo (PSS),59303,"Aug 22-26, 2019",Test # 2356,1192874,TEST_MATCH
England,1,Australia,2,England,1,1 wicket,Leeds,57092,"Aug 22-25, 2019",Test # 2357,1152848,TEST_MATCH
West Indies,4,India,6,India,6,318 runs,North Sound,208543,"Aug 22-25, 2019",Test # 2358,1188628,TEST_MATCH
West Indies,4,India,6,India,6,257 runs,Kingston,59458,"Aug 30-Sep 2, 2019",Test # 2359,1188629,TEST_MATCH
England,1,Australia,2,Australia,2,185 runs,Manchester,57160,"Sep 4-8, 2019",Test # 2360,1152849,TEST_MATCH
Bangladesh,25,Afghanistan,40,Afghanistan,40,224 runs,Chattogram,56658,"Sep 5-9, 2019",Test # 2361,1197138,TEST_MATCH
England,1,Australia,2,England,1,135 runs,The Oval,57127,"Sep 12-15, 2019",Test # 2362,1152850,TEST_MATCH
India,6,South Africa,3,India,6,203 runs,Visakhapatnam,58547,"Oct 2-6, 2019",Test # 2363,1187007,TEST_MATCH
India,6,South Africa,3,India,6,inns & 137 runs,Pune,545380,"Oct 10-13, 2019",Test # 2364,1187008,TEST_MATCH
India,6,South Africa,3,India,6,inns & 202 runs,Ranchi,485865,"Oct 19-22, 2019",Test # 2365,1187009,TEST_MATCH
India,6,Bangladesh,25,India,6,inns & 130 runs,Indore,58150,"Nov 14-16, 2019",Test # 2366,1187016,TEST_MATCH
New Zealand,5,England,1,New Zealand,5,inns & 65 runs,Mount Maunganui,444258,"Nov 21-25, 2019",Test # 2367,1187671,TEST_MATCH
Australia,2,Pakistan,7,Australia,2,inns & 5 runs,Brisbane,56336,"Nov 21-24, 2019",Test # 2368,1183530,TEST_MATCH
India,6,Bangladesh,25,India,6,inns & 46 runs,Kolkata,57980,"Nov 22-24, 2019",Test # 2369,1187017,TEST_MATCH
Afghanistan,40,West Indies,4,West Indies,4,9 wickets,Lucknow,1070094,"Nov 27-29, 2019",Test # 2370,1193500,TEST_MATCH
New Zealand,5,England,1,drawn,,,Hamilton,58831,"Nov 29-Dec 3, 2019",Test # 2371,1187672,TEST_MATCH
Australia,2,Pakistan,7,Australia,2,inns & 48 runs,Adelaide,56293,"Nov 29-Dec 2, 2019",Test # 2372,1183531,TEST_MATCH
Pakistan,7,Sri Lanka,8,drawn,,,Rawalpindi,59006,"Dec 11-15, 2019",Test # 2373,1206635,TEST_MATCH
Australia,2,New Zealand,5,Australia,2,296 runs,Perth,1126475,"Dec 12-15, 2019",Test # 2374,1183532,TEST_MATCH
Pakistan,7,Sri Lanka,8,Pakistan,7,263 runs,Karachi,58956,"Dec 19-23, 2019",Test # 2375,1206636,TEST_MATCH
Australia,2,New Zealand,5,Australia,2,247 runs,Melbourne,56441,"Dec 26-29, 2019",Test # 2376,1183533,TEST_MATCH
South Africa,3,England,1,South Africa,3,107 runs,Centurion,59079,"Dec 26-29, 2019",Test # 2377,1185304,TEST_MATCH
Australia,2,New Zealand,5,Australia,2,279 runs,Sydney,56544,"Jan 3-6, 2020",Test # 2378,1183534,TEST_MATCH
South Africa,3,England,1,England,1,189 runs,Cape Town,59068,"Jan 3-7, 2020",Test # 2379,1185305,TEST_MATCH
South Africa,3,England,1,England,1,inns & 53 runs,Port Elizabeth,59159,"Jan 16-20, 2020",Test # 2380,1185306,TEST_MATCH
Zimbabwe,9,Sri Lanka,8,Sri Lanka,8,10 wickets,Harare,59545,"Jan 19-23, 2020",Test # 2381,1212541,TEST_MATCH
South Africa,3,England,1,England,1,191 runs,Johannesburg,59120,"Jan 24-27, 2020",Test # 2382,1185307,TEST_MATCH
Zimbabwe,9,Sri Lanka,8,drawn,,,Harare,59545,"Jan 27-31, 2020",Test # 2383,1212542,TEST_MATCH
Pakistan,7,Bangladesh,25,Pakistan,7,inns & 44 runs,Rawalpindi,59006,"Feb 7-10, 2020",Test # 2384,1213062,TEST_MATCH
New Zealand,5,India,6,New Zealand,5,10 wickets,Wellington,58895,"Feb 21-24, 2020",Test # 2385,1187685,TEST_MATCH
Bangladesh,25,Zimbabwe,9,Bangladesh,25,inns & 106 runs,Dhaka,236761,"Feb 22-25, 2020",Test # 2386,1214666,TEST_MATCH
New Zealand,5,India,6,New Zealand,5,7 wickets,Christchurch,58810,"Feb 29-Mar 2, 2020",Test # 2387,1187686,TEST_MATCH
Australia,2,Pakistan,7,Australia,2,92 runs,Brisbane,56336,"Jan 13, 2017",ODI # 3817,1000887,ODI
Australia,2,Pakistan,7,Pakistan,7,6 wickets,Melbourne,56441,"Jan 15, 2017",ODI # 3818,1000889,ODI
India,6,England,1,India,6,3 wickets,Pune,545380,"Jan 15, 2017",ODI # 3819,1034819,ODI
Australia,2,Pakistan,7,Australia,2,7 wickets,Perth,56490,"Jan 19, 2017",ODI # 3820,1000891,ODI
India,6,England,1,India,6,15 runs,Cuttack,58027,"Jan 19, 2017",ODI # 3821,1034821,ODI
Australia,2,Pakistan,7,Australia,2,86 runs,Sydney,56544,"Jan 22, 2017",ODI # 3822,1000893,ODI
India,6,England,1,England,1,5 runs,Kolkata,57980,"Jan 22, 2017",ODI # 3824,1034823,ODI
Australia,2,Pakistan,7,Australia,2,57 runs,Adelaide,56293,"Jan 26, 2017",ODI # 3826,1000895,ODI
South Africa,3,Sri Lanka,8,South Africa,3,8 wickets,Port Elizabeth,59159,"Jan 28, 2017",ODI # 3828,936159,ODI
New Zealand,5,Australia,2,New Zealand,5,6 runs,Auckland,58792,"Jan 30, 2017",ODI # 3829,1020013,ODI
South Africa,3,Sri Lanka,8,South Africa,3,121 runs,Durban,59089,"Feb 1, 2017",ODI # 3830,936161,ODI
South Africa,3,Sri Lanka,8,South Africa,3,7 wickets,Johannesburg,59120,"Feb 4, 2017",ODI # 3831,936163,ODI
New Zealand,5,Australia,2,New Zealand,5,24 runs,Hamilton,58831,"Feb 5, 2017",ODI # 3832,1020017,ODI
South Africa,3,Sri Lanka,8,South Africa,3,40 runs,Cape Town,59068,"Feb 7, 2017",ODI # 3833,936165,ODI
South Africa,3,Sri Lanka,8,South Africa,3,88 runs,Centurion,59079,"Feb 10, 2017",ODI # 3834,936167,ODI
Zimbabwe,9,Afghanistan,40,Afghanistan,40,12 runs,Harare,59545,"Feb 16, 2017",ODI # 3835,1079246,ODI
New Zealand,5,South Africa,3,South Africa,3,4 wickets,Hamilton,58831,"Feb 19, 2017",ODI # 3836,1020031,ODI
Zimbabwe,9,Afghanistan,40,Afghanistan,40,54 runs,Harare,59545,"Feb 19, 2017",ODI # 3837,1079247,ODI
Zimbabwe,9,Afghanistan,40,Zimbabwe,9,3 runs,Harare,59545,"Feb 21, 2017",ODI # 3838,1079248,ODI
New Zealand,5,South Africa,3,New Zealand,5,6 runs,Christchurch,58810,"Feb 22, 2017",ODI # 3839,1020033,ODI
Zimbabwe,9,Afghanistan,40,Zimbabwe,9,7 wickets,Harare,59545,"Feb 24, 2017",ODI # 3840,1079249,ODI
New Zealand,5,South Africa,3,South Africa,3,159 runs,Wellington,58899,"Feb 25, 2017",ODI # 3841,1020035,ODI
Zimbabwe,9,Afghanistan,40,Afghanistan,40,106 runs,Harare,59545,"Feb 26, 2017",ODI # 3842,1079250,ODI
New Zealand,5,South Africa,3,New Zealand,5,7 wickets,Hamilton,58831,"Mar 1, 2017",ODI # 3843,1020037,ODI
West Indies,4,England,1,England,1,45 runs,North Sound,208543,"Mar 3, 2017",ODI # 3845,1027315,ODI
New Zealand,5,South Africa,3,South Africa,3,6 wickets,Auckland,58792,"Mar 4, 2017",ODI # 3846,1020039,ODI
West Indies,4,England,1,England,1,4 wickets,North Sound,208543,"Mar 5, 2017",ODI # 3848,1027317,ODI
West Indies,4,England,1,England,1,186 runs,Bridgetown,59429,"Mar 9, 2017",ODI # 3849,1027319,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,30 runs,Greater Noida,942501,"Mar 15, 2017",ODI # 3850,1040491,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,34 runs,Greater Noida,942501,"Mar 17, 2017",ODI # 3851,1040493,ODI
